,content,score
369,Udh pake robo masih aja dimasukin ke saham abal2.. merugikan,1
370,I've use this app last year and still use this app for my future. hopefully bibit can save my money safely.,5
371,"Lama banget buat tahap penjualan nya, udah tau urgent juga",1
372,Good,5
373,Tambahkan pembayaran lewat minimarket supaya lebih menpermudah bertransaksi tanpa harus menggunakan ATM atau bank transfer,2
374,"Tampilan aplikasi sederhana, tidak membingungkan, dan enak dipandang.",4
375,good app,5
376,bagus,5
377,"Pake Kode Refferal "" investrsa "" Use friendly banget apk nya, pokokny recomended. Dari pada nabung di bank",5
378,"App tidak bisa dibuka, error",1
379,"harus tanda tangan di aplikasi dg tanda tangan di layar hape. buat yg gak biasa kayak saya, diulang terus jg gak bisa. sdh minta bantuan CS sama aja. jadi saya uninstall aja.",1
